	Models	Disclaimers
0	2020 GIULIA RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $40640.00 with 22L package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra.Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
1	2020 GIULIA Ti RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $42640.00 with 22T package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
2	2020 GIULIA AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $42640.00 with 22M package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
3	2020 GIULIA Ti AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $44640.00 with 22G package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
4	2020 GIULIA QUADRIFOGLIO RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $81590.00 with 24P package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
0	2019 GIULIA RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $39840.00 with 22L package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
1	2019 GIULIA AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $41840.00 with 22M package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
2	2019 GIULIA Ti RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $42040.00 with 22T package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
3	2019 GIULIA Ti AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $44040.00 with 22G package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
4	2019 GIULIA QUADRIFOGLIO RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $75840.00 with 24P package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
0	2020 STELVIO RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $42640.00 with 22L package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra.Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
1	2020 STELVIO AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $44640.00 with 22M package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
2	2020 STELVIO Ti AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $47040.00 with 22G package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
3	2020 STELVIO QUADRIFOGLIO AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $81590.00 with 24P package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
0	2019 STELVIO RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $41840.00 with 22L package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
1	2019 STELVIO AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $43840.00 with 22M package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
2	2019 STELVIO Ti AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $46040.00 with 22G package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
3	2019 STELVIO QUADRIFOGLIO AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $81590.00 with 24P package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 06/30/2020.
